Tabel 1. Daftar Inventarisasi Peralatan dan Bahan Laboratorium,,,,,,,,,,
,,,,,,,,,,
,DAFTAR NAMA ALAT LABORATORIUM,,,,,,,,,
,SMA NEGERI 1 PINRANG,,,,,,,,,
,TAHUN PELAJARAN 2026 - 2027,,,,,,,,,
,,,,,,,,,,
,A. ALAT DARI BAHAN KACA,,,,,,,,,
,1. Berskala,,,,,,,,,
,NOMOR,KODE,NAMA PERALATAN,SPESIFIKASI,SUMBER DANA,JUMLAH,,Lokasi Penyimpanan,,
,,,,,,BAIK,RUSAK,Lab,Gud,Lem
,1,KGE 11/1000,Gelas Kimia,1000 ml,"A, D",9,2, -,√,Lemari 3 / 1
,2,KGE 11/600,Gelas Kimia,600 ml,A,1, -, -, -,Lemari 3 / 1
,3,KGE 11/500,Gelas Kimia,500 ml,"A,B",10, -, -, -,Lemari 3 / 1
,4,KGE 11/250,Gelas Kimia,250 ml,C,10,1, -, -,Lemari 3 / 1
,5,KGE 11/100,Gelas Kimia,100 ml,E,9, -, -, -,Lemari 3 / 1
,6,KGE 11/50,Gelas Kimia,50 ml,C,12, -, -, -,Lemari 3 / 1
,7,KLA 45/250,Erlemeyer ,250 ml,A,8, -, -, -,Lemari 3 / 2
,8,KLA 45/100,Erlemeyer ,100 ml,A,2, -, -, -,Lemari 3 / 2
,9,,Erlemeyer ,500 ml,B,3, -, -, -,Lemari 3 / 2
,10, -,Psychrometer Piche,Model Pich, -, -, -, -, -, -
,11, -,Gelas ukur ,250 ml, -, -, -, -, -, -
,12, -,Gelas ukur ,100 ml, -, -, -, -, -, -
,13,KSL 40/50,Gelas ukur ,50 ml,B,5, -, -, -,Lemari 3 / 1
,14,KSL 40/25,Gelas ukur ,25 ml, -, -, -, -, -, -
,15,KSL 40/10,Gelas ukur ,10 ml,B,1, -, -, -,Lemari 3 / 1
,16,,, -,,, -, -, -,
,17,,,,,,, -, -,
,18,KTE 20,Termometer ,Pratikum,"A,D",20,4, -, -,Lemari 3 / 4
,19,BFS 62,Potometer,Buah,A,1,3, -, -,Lemari 9 / 2
,20,BGE 48,Soil Capillarity APP,Set,"A,B",5,3, -, -,Lemari 9 / 3
,21,KAS 01,Stopwacth,iaksuv,"C,D",3, -, -, -,Lemari 4/1
,22,BFS 74,Respirometer,Set,"A,D",7, -, -, -,Lemari 4/1
,23,,,,,, -, -, -,
,24,,Termometer ,kaca,B, -, -, -, -,
,25,,Termometer ,Ruang,E,3, -, -, -,Lemari 4/1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,2. Tidak Berskala,,,,,,,,,
,NOMOR,KODE,NAMA PERALATAN,SPESIFIKASI,SUMBER DANA,JUMLAH,,Lokasi Penyimpanan,,
,,,,,,BAIK,RUSAK,Lab,Gud,Lem
,1,KKA 25/075 ,Gelas Arloji,Kecil,A,78, -, -, -,Lemari 3 / 1
,2,KKA 25/150 ,Gelas Arloji,Besar,A,42, -, -, -,Lemari 3 / 1
,3,KTA 14/025,Tabung Sampel,Buah,B,28,1, -, -,Lemari 3 / 1
,4,VKBS 28,Bunsen,Buah,F,13,5, -, -,Lemari 3 / 2
,5,KCR 15/100,Corong ,100 mm,A,4, -, -, -,Lemari 3 / 3
,6,KCR 15/90,Corong,90 mm,A,1,1, -, -,Lemari 3 / 3
,7,KCR 15/75,Corong ,75 mm,B,10, -, -, -,Lemari 3 / 3
,8,KSP 12,Batang Pengaduk  ,Pende,"A,D",26,1, -, -,Lemari 3 / 3
,9,KSP 12,Batang Pengaduk  ,Panjang,"B,E",13, -, -, -,Lemari 3 / 3
,10,,Ose Bulat ,Batang,E,21, -, -, -,Lemari 3 / 3
,11,KPP 70,Pipet Tetes,kecil,D,13,4, -, -,Lemari 3 / 3
,12,KPP 70,Pipet Tetes,Besar,D,35,30, -, -,Lemari 3 / 3
,13,KCA 45,Cawan Petri,Pasang,"B, G",21, -, -, -,Lemari 3 / 4
,14,,Tabung Reaksi,Kecil,A,65, -, -, -,Lemari 3 / 4
,15,,Tabung Reaksi,Sedang,"A,C",48,2, -, -,Lemari 3 / 4
,16,,Tabung Reaksi,Biasa,"A,D",111,9, -, -,Lemari 3 / 4
,17,,Tabung Reaksi,Besar,B,19,3, -, -,Lemari 3 / 4
,18,KPP 16,Pipa Kaca,40 cm,B,5, -, -, -,Lemari 3 / 4
,20,KPP 16,Pipa Kapiler J,Buah,B,3, -, -, -,Lemari 9/2
,21,BMK 90/075,Kaca Pembesar (LUP),75 mm,"D,E",12, -, -, -,Lemari 9/2
,22,BMK 90/021,Kaca Pembesar (LUP),21 mm,C,3, -, -, -,Lemari 9/2
,23,BMK 90/010,Kaca Pembesar (LUP),10 mm,A,10, -, -, -,Lemari 9/2
,24,BMK 62,Kaca Benda,Dos,"A,C",12,3, -, -,Lemari 9/3
,25,BMK 72/016,Kaca Penutup,Pak,"A,B",10,5, -, -,Lemari 9/3
,,,,,,,,,,
,"B. ALAT DARI BAHAN PLASTIK, KAYU DAN BESI",,,,,,,,,
,,,,,,,,,,
,NOMOR,KODE,NAMA PERALATAN,SPESIFIKASI,SUMBER DANA,JUMLAH,,Lokasi Penyimpanan,,
,,,,,,BAIK,RUSAK,Lab,Gud,Lem
,1,BPG 48,Jala plankton ,Sedang,A, -,1, -, -,Lemari 2/1
,2,BPG 55,Jala serangga,Sedang,A,1,-, -, -,Lemari 2/1
