Tabel. 4 Format Pemesanan / Usulan Alat dan Bahan Lab,,,,
,,,,
FORMAT PEMESANAN/USULAN ALAT DAN BAHAN ,,,,
LABORATORIUM BIOLOGI SMAN 1 PINRANG,,,,
Nomor Formulir,,,,
Nama Pengusul dan Jabatan,,,,
Tanggal Diusulkan,,,,
NO.,Alat/Bahan yang ,Spesifikasi,Jumlah,Alasan Usulan
,diusulkan,,,Alat/Bahan
1,Petunjuk percobaan,Buku/Modul,9 / Percobaan,Sebagai bahan POS
2,Kotak kontak,Colokang 2 untuk setiap mejah pratikum,12,Sumber listrik bagi peralatan yang membutuhkan listrik pada saat pratikum
3,Peralatan P3K,isinya termasuk obat P3K untuk luka bakar dan luka terbuka.,1 Set,Sudah Kadaluarsa
4,Oven,Merk memmer Ukuran suhu + 50C – 3000C,1 unit,Sebagai alat untuk herbarium dan sterilisasi alat
5,Inkubator,Merk memmer Ukuran suhu + 50C – 800C,1 unit,Pengatur suhu linkungan biakan
6,Strakter / biakan,"Murni, (Acetobacter xylinum)",1 Set,Biakan yang sering digunakan pada pratikum bakteri dan bioteknologi
,,,,
,,,,
,,,,"Salonro, 20 Agustus 2026"
Kepala LAB Biologi,,,,Laboran LAB Biologi
,,,,
,,,,
,,,,
,,,,"JUNI ASWATI, S. Si"
,,,,
,,"Mengetahui,",,
,,Kepala UPT SMA NEGERI 1 PINRANG,,
