Tabel 5. Format Peminjaman dan Pengembalian Alat,,,,
,,,,
FORMAT PEMINJAMAN DAN PENGEMBALIAN ALAT ,,,,
 LABORATORIUM BIOLOGI SMA NEGERI 1 PINRANG ,,,,
Nomor Formulir,,1,Tanggal Peminjaman,13-Aug-26
Nama Peminjam dan Jabatan,,"HJ. Haslinda, S.Pd.",Tanggal Pengembalian,14-Aug-26
Keperluan dan Durasi Peminjaman Alat,,Pratikum Uji Makanan,Satu Hari,
NO.,Nama Alat dan Spesifikasinya,Jumlah,Kondisi saat Pinjam,Kondisi saat Kemali
1.,Gelas Kimia 250 ml,5,Baik,Baik
2.,Kaki 3,5,Baik,Baik
3.,Kasa,5,Baik,Baik
4.,Plat Tetes,5,Baik,Baik
5.,Pipet tete,10,Baik,Baik
,,,,
,,,"pinrang, 4 september 2026",
,,,,
,"Mengetahui,",,,
,"Kepala Lab,",,Peminjam,
