DAFTAR NAMA PRASARANA LABORATORIUM IPA,,,,,,,
SMA NEGERI 1 PINRANG,,,,,,,
TAHUN PELAJARAN 2026 - 2027,,,,,,,
,,,,,,,
No,Kode,Nama Prasarana,Spesifikasi,Sumber Prasarana,Jumlah,,Lokasi Prasarana
,,,,,Baik,Rusak,
1,LA,Lemari kayu penyimpanan alat ,Jati,A,1,1,Bagian Belakang
2,LA,Lemari kaca penyimpanan alat ,Jati,A,3,-,Bagian Belakang
3,LM,Lemari Mikroskop,Kayu jati/Kaca,A,1,-,Samping Kanan Mejah Guru
4,LZ,Lemari zat,Kayu jati,B,2,-,Bagian Belakang
5,LA,Lemari kaca,Kaca,E,1, -,Ruang Istirah Guru
6,MP,Meja praktek,Jati,A,,-,Ruang Praktek
7,MD,Meja Demonstrasi / Meja Guru,Jati,A,1,-,Ruang Praktek
8,MG,Meja guru ,Jati,B,2,-,Ruang Praktek
9,KG,Kursi guru,Jati,D,3,-,Ruang Praktek
10,KS,Kursi siswa,Plastik,B,25,6,Ruang Praktek
11,KS,Kursi siswa,Bulat (Besi),G,22, -,Ruang Praktek
12,KK,Kotak P3K,Kayu,B,1,-,Ruang Istirah Guru
13,LP,Kulkas,Satu Pintu,B,1, -,Ruang Istirah Guru
14,BP,Baju Pratikum,Lembar,B,38, -,Lemari 9
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,"Salonro, 17 Agustus 2026",,
  Kepala LAB Biologi,,,,,Laboran LAB Biologi,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,"Juni Aswati,S.Si",,
,,,,,,,
,,"Mengetahui,",,,,,
,,Kepala UPT SMA NEGERI 1 PINRANG,,,,,
