,,,,,
,,,,,
DAFTAR NAMA ALAT LABORATORIUM,,,,,
SMAN 1 PINRANG,,,,,
TAHUN PELAJARAN 2026 - 2027,,,,,
,,,,,
No,Nama Barang,Banyaknya,Kode,Kondisi Barang,Ket
1,Gelas Kimia,7,KGE 11/1000,Baik,
2,Gelas Kimia,2,KGE 11/600,Baik,
3,Gelas Kimia,2,KGE 11/500,Baik,
4,Gelas Kimia,28,KGE 11/250,Baik,
5,Gelas Kimia,12,KGE 11/100,Baik,
6,Gelas Kimia,12,KGE 11/50,Baik,
7,Erlemeyer ,6,KLA 45/250,Baik,
8,Erlemeyer ,5,KLA 45/100,Baik,
9,Termometer ,3,,Baik,
10,Psychrometer Piche, -,BA 15 BFS 69,Baik,
11,Gelas ukur ,4,KSL 40/250,Baik,
12,Gelas ukur ,11,KSL 40/100,Baik,
13,Gelas ukur ,1,KSL 40/50,Baik,
14,Gelas ukur ,6,KSL 40/25,Baik,
15,Gelas ukur ,4,KSL 40/10,Baik,
16,Pipet Ukur,7,,Baik,
17,Pipa Scala,3,,Baik,
18,Termometer ,20,KTE 20,Baik,
19,Potometer,1,BFS 62,Baik,
20,Soil Capillarity APP,5,BGE 48,Baik,
21,Stopwacth,6,KAS 01,Baik,
22,Respirometer,11,BFS 74,Baik,
23,Spoit Kaca,19,,Baik,
24,Termometer ,4,,Baik,
25,Termometer ,2,,Baik,
26,Gelas Arloji,78,KKA 25/075 ,Baik,
27,Gelas Arloji,42,KKA 25/150 ,Baik,
28,Tabung Sampel,28,KTA 14/025,Baik,
29,Bunsen,13,VKBS 28,Baik,
30,Corong ,4,KCR 15/100,Baik,
31,Corong,1,KCR 15/90,Baik,
32,Corong ,10,KCR 15/75,Baik,
33,Batang Pengaduk  ,26,KSP 12,Baik,
34,Batang Pengaduk  ,13,KSP 12,Baik,
35,Ose Bulat ,21,,Baik,
36,Pipet Tetes,13,KPP 70,Baik,
37,Pipet Tetes,35,KPP 70,Baik,
38,Cawan Petri,21,KCA 45,Baik,
39,Tabung Reaksi,65,,Baik,
40,Tabung Reaksi,48,,Baik,
41,Tabung Reaksi,111,,Baik,
42,Tabung Reaksi,19,,Baik,
43,Pipa Kaca,5,KPP 16,Baik,
44,Pipa Kapiler J,3,KPP 16,Baik,
45,Kaca Pembesar (LUP),12,BMK 90/075,Baik,
46,Kaca Pembesar (LUP),3,BMK 90/021,Baik,
47,Kaca Pembesar (LUP),10,BMK 90/010,Baik,
48,Kaca Benda,12,BMK 62,Baik,
49,Kaca Penutup,10,BMK 72/016,Baik,
50,Jala plankton , -,BPG 48,Rusak ,
51,Jala serangga,1,BPG 55,Baik,
52,Perangkap serangga ,2,BPG 65,Baik,
53,Kaki Tiga,16,KKA 55,Baik,
54,Kasa,52,,Baik,
55,Papan Bedah,20,,Baik,
56,Rak Tabung Reaksi,12,KTA 90,Baik,
57,Rak Tabung Reaksi,8,KTA 92,Baik,
58,"Lumpung dan alu, q 10 cm",21,KIM 25/080,Baik,
59,Plat Tetes,12,,Baik,
60,Sikat Tabung,21,KSK 24,Baik,
61,Sikat Tabung,8,KSK 24,Baik,
62,Penjepit Tabung,14,KTA 85,Baik,
63,Penjepit Tabung,3,KTA 85,Baik,
64,Auksanometer , -,,Baik,
65,Batang Statif,7,,Baik,
66,Mikroskop sterio,2,BMK 36,Baik,
67,Mikroskop lanjutan,5,BMK 24,Baik,
68,Mikroskop Siswa,24,BMK 15,Baik,
69,Quadrat  Folding,10,BPG 29,Baik,
70,Storage Case Plastic,2,BMK 79,Baik,
71,Dissecting Dish,2,,Baik,
72,Kotak Genetik,8,BFS 96,Baik,
73,Perangkat pemeliharaan  Mikroskop,3,BMK 48,Baik,
74,Sphygmomanometer ,4,BPB 42,Baik,
75,Steteskop ,9,BPG 41,Baik,
76,Higrometer,6,BPS 68,Baik,
77,Jarum Spoit,19,,Baik,
78,Crucible,2,KA 31,Baik,
79,Timbangan Digital,1,,Baik,
80,Stan Baterai,14,,Baik,
81,Stan Baterai,6,,Baik,
82,Kabel Penghubung,11,,Baik,
83,Klem Buret,4,KST 34,Baik,
84,Klem Universal,8,KST 34,Baik,
85,Auksanometer ,1,,Baik,
86,Sumbat Karet,4,KSM 19,Baik,
87,Alat pelubang gabus ,7,KSM 8.06,Baik,
88,Pengasah pelubang gabus ,6,KSM 10,Baik,
89,Alat pemusing ,2,KTA 100,Baik,
90,Pinset,27,BPB 01,Baik,
91,Gunting Bedah,4,,Baik,
92,Blood lancet ,2,,Baik,
93,Blood lancet otomatis,6,,Baik,
94,Slaid ,2,,Baik,
95,Tangkai Skalpel,14,,Baik,
96,Hard mikrotom,9,BMK 78,Baik,
97,Pisau Bedah,10,,Baik,
98,Perangkat alat bedah,12,BPB 40.001,Baik,
99,Neraca Ohauz ,7,,Baik,
100,Mikroskop Elektron,1,,Baik,
101,Akuarium ,3,BPG 67,Baik,
102,Akuarium plexy glass,1,BPG 67/02-75,Baik,
103,Alat Pemadam,3,,Baik,
104,Kompor Hook,2,,Baik,
105,Panci ( dandang) ,2,,Baik,
106,Kompor Gas,2,,Baik,
107,Panci Steamer,2,,Baik,
108,Alat Ukur Tinggi Badan,1,,Baik,
109,Timbangan Badan,2,BPG 01,Baik,
,,,,,
,,,,"Salonro, 17 Agustus 2026",
Kepala LAB Biologi,,,,Laboran LAB Biologi,
,,,,,
,,,,,
,,,,,
,,,,"JUNI ASWATI, S.Si",
,,,,,
,,"Mengetahui,",,,
,,Kepala UPT SMA NEGERI 7 SOPPENG,,,
